code,title
30121,DEXA (1)
30122,GLOBECOM
30123,GLOBECOM Workshops
30124,MDM
30125,SMARTCOMP
30126,Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering
30127,IEEE Communications Magazine
30128,Soft Comput.
30129,IEEE Trans. Communications
30130,ACM Trans. Inf. Syst.
30131,ACM Trans. Spatial Algorithms and Systems
30132,AINA
30133,ETFA
30134,ISPACS
30135,SECON
30136,SPAWC
30137,WI
30138,Springer Briefs in Computer Science
30139,Distributed and Parallel Databases
30140,IEICE Transactions
30141,ICST Trans. Mobile Communications Applications
30142,EDBT
30143,INFOCOM Workshops
30144,MobiQuitous (Adjunct Proceedings)
30145,MoMM
30146,NANOCOM
30147,NII Shonan Meet. Rep.
30148,IJWIS
30149,Mobile Information Systems
30150,IEEE Trans. Industrial Electronics
30151,BICT
30152,DEXA (2)
30153,ICC
30154,MDM (1)
30155,SRDS
30156,SSDBM
30157,IMCOM
30158,TWEB
30159,BigComp
30160,ProfS/KG4IR/Data:Search@SIGIR
30161,WWW (Companion Volume)
30162,ACM Comput. Surv.
30163,IJCNN
30164,IPMU (3)
30165,Inf. Retr. Journal
30166,EUSFLAT/IWIFSGN (1)
30167,FUZZ-IEEE
30168,Inf. Process. Manage.
30169,JIDM
30170,SOCIALEDU
30171,ECIR (2)
30172,J. Braz. Comp. Soc.
30173,NCA
30174,SBBD Companion
30175,Encyclopedia of Database Systems (2nd ed.)
30176,IEEE Software
30177,WebMedia
30178,Pattern Recognition Letters
30179,ECIR
30180,SBBD
30181,Requir. Eng.
30182,International Journal of Geographical Information Science
30183,JASIST
30184,ICEIS (1)
30185,Expert Systems
30186,CAEPIA
30187,Int. J. on Digital Libraries
30188,CoNLL
30189,HCOMP (WIP&Demo)
30190,JCDL
30191,WebSci
30192,SIGIR Forum
30193,DH
30194,TPDL
30195,ICALT
30196,TLT
30197,AINA Workshops
30198,CHIIR
30199,IEEE MultiMedia
30200,User Model. User-Adapt. Interact.
30201,3PGCIC
30202,HT
30203,DESIRES
30204,KDD
30205,ADC
30206,ICBK
30207,FQAS
30208,HPCC/SmartCity/DSS
30209,TIME
30210,AsiaCCS
30211,NDSS
30212,EuroS&P
30213,SPSM@CCS
30214,ESORICS (1)
30215,USENIX Security Symposium
30216,J. Comput. Science
30217,The New Review of Hypermedia and Multimedia
30218,ICWSM
30219,SIGWEB Newsletter
30220,CHItaly
30221,UMAP (Adjunct Publication)
30222,UMAP
30223,MMDA@ECAI
30224,ACL (1)
30225,LAK
30226,Mensch & Computer Workshopband
30227,UMAP Workshops
30228,HICSS
30229,First Monday
30230,Computers & Education
30231,Telematics and Informatics
30232,IEEE Trans. Vis. Comput. Graph.
30233,AVI
30234,CSCL
30235,Sensors
30236,Int. J. Systems Science
30237,Computers & Industrial Engineering
30238,Comp. in Bio. and Med.
30239,Computers and Electronics in Agriculture
30240,Computer Networks
30241,Int. J. Electronic Commerce
30242,J. Sci. Comput.
30243,Symmetry
30244,IEEE Trans. Intelligent Transportation Systems
30245,EURASIP J. Adv. Sig. Proc.
30246,IJCSE
30247,IJMDEM
30248,I. J. Medical Informatics
30249,J. Digital Imaging
30250,J. Intellig. Transport. Systems
30251,Neural Computing and Applications
30252,ICPR
30253,PAKDD (3)
30254,SAC
30255,Comput. Syst. Sci. Eng.
30256,Data Science and Engineering
30257,ISPRS Int. J. Geo-Information
30258,Journal of Intelligent and Fuzzy Systems
30259,Journal of Machine Learning Research
30260,Memetic Computing
30261,Microelectronics Journal
30262,SIAM J. Scientific Computing
30263,ICIS
30264,BMVC
30265,CCCV (2)
30266,ICPCSEE (2)
30267,SPAC
30268,Applied Mathematics and Computation
30269,BMC Bioinformatics
30270,Computers in Human Behavior
30271,Displays
30272,Frontiers Comput. Sci.
30273,IJGHPC
30274,J. Electronic Imaging
30275,JGIM
30276,Statistical Analysis and Data Mining
30277,IEEE Trans. Biomed. Engineering
30278,AMC
30279,CCNC
30280,CLUSTER
30281,CSCW
30282,DEXA Workshops
30283,DSP
30284,iThings/GreenCom/CPSCom/SmartData
30285,PACIS
30286,Trustcom/BigDataSE/ISPA
30287,WAIM (2)
30288,Environmental Modelling and Software
30289,iJET
30290,Int. J. Fuzzy Syst.
30291,PLoS Computational Biology
30292,Signal Processing
30293,IEEE Trans. Automation Science and Engineering
30294,IEEE Wireless Commun. Letters
30295,A-SSCC
30296,CogSci
30297,ICIMCS
30298,ICNC
30299,ICPADS
30300,ICYCSEE
30301,MedInfo
30302,WACV
30303,Neural Computation
30304,3DV
30305,BEA@NAACL-HLT
30306,ICDM
30307,Journal of Biomedical Informatics
30308,DocEng
30309,TDDL/MDQual/Futurity@TPDL
30310,ICDAR
30311,K-CAP
30312,SG-CRC
30313,IEEE Trans. Big Data
30314,AAAI Workshop: Scholarly Big Data
30315,ACCV (5)
30316,DSMM@SIGMOD
30317,SBD@SIGMOD
30318,AAAI Workshops
30319,J. Cheminformatics
30320,TCDL Bulletin
30321,TKDD
30322,ACL (System Demonstrations)
30323,ECML/PKDD (1)
30324,SISAP
30325,NHM
30326,ACM TIST
30327,IEEE Trans. Neural Netw. Learning Syst.
30328,IEEE Trans. Signal Processing
30329,DASFAA (2)
30330,ICML
30331,ICMR
30332,UAI
30333,Pattern Recognition
30334,AISTATS
30335,BIBM
30336,MSWiM
30337,IEEE Trans. Pattern Anal. Mach. Intell.
30338,IEEE Trans. Cybernetics
30339,CCPR (2)
30340,TBC
30341,ICCV
30342,SDM
30343,ITCS
30344,NeurIPS
30345,SODA
30346,IEEE Computer
30347,SIAM J. Discrete Math.
30348,SIGKDD Explorations
30349,COMAD
30350,HLT-NAACL
30351,J. ACM
30352,TOPC
30353,FOCS
30354,NAACL-HLT (2)
30355,NAACL-HLT
30356,TACL
30357,ACL (Tutorial Abstracts)
30358,ACL (2)
30359,HLT-NAACL Tutorials
30360,RepEval@ACL
30361,IMC
30362,ICDT
30363,PAKDD (2)
30364,Network Science
30365,DaWaK
30366,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.
30367,Journal of Systems and Software
30368,ACL (Student Research Workshop)
30369,WAT@IJCNLP
30370,LDAV
30371,SocInfo (1)
30372,Social Netw. Analys. Mining
30373,BigData Congress
30374,CICLing (2)
30375,COLING (Demos)
30376,IUI Companion
30377,IV
30378,NTCIR
30379,BDA
30380,VAST
30381,T. Large-Scale Data- and Knowledge-Centered Systems
30382,TPCTC
30383,IJNGC
30384,BDCAT
30385,J. Intell. Inf. Syst.
30386,DNIS
30387,IDEAS
30388,PAM
30389,IEEE Security & Privacy
30390,ACSAC
30391,IEEE Symposium on Security and Privacy
30392,it - Information Technology
30393,ISSTA
30394,RAID
30395,SANER
30396,COMPSAC
30397,DSN
30398,Financial Cryptography
30399,Internet Measurement Conference
30400,TRUST
30401,Computers & Security
30402,DIMVA
30403,CODASPY
30404,ANRW
30405,ACM Conference on Computer and Communications Security
30406,IEEE Symposium on Security and Privacy Workshops
30407,PoPETs
30408,CSF
30409,HPCC/CSS/ICESS
30410,DeMobile@SIGSOFT FSE
30411,ESEC/SIGSOFT FSE
30412,WEIS
30413,Making Databases Work
30414,VLDB J.
30415,CIDR
30416,Inf. Syst.
30417,Machine Learning
30418,SIGSPATIAL/GIS
30419,IC2E
30420,DBSec
30421,ICSE
30422,Empirical Software Engineering
30423,REFSQ
30424,CRiSIS
30425,ICITST
30426,EmpiRE
30427,SACMAT
30428,Int. J. Cooperative Inf. Syst.
30429,J. Data and Information Quality
30430,IEEE Trans. Information Forensics and Security
30431,IEEE Trans. Mob. Comput.
30432,ACM Trans. Internet Techn.
30433,CIC
30434,DSC
30435,FUSION
30436,GROUP
30437,LCN
30438,MILCOM
30439,A Comprehensive Guide Through the Italian Database Research
30440,IEEE Internet of Things Journal
30441,JoWUA
30442,IEEE Systems Journal
30443,ACM Trans. Priv. Secur.
30444,TOSN
30445,IEEE Trans. Software Eng.
30446,Wiley Interdiscip. Rev. Data Min. Knowl. Discov.
30447,ASONAM
30448,Inscrypt
30449,CNSM
30450,eScience
30451,ESORICS (2)
30452,EWSN
30453,ICDCS Workshops
30454,ICISSP
30455,IoTDI
30456,IRI
30457,DroNet@MobiSys
30458,SERVICES
30459,SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI
30460,WISE (2)
30461,GeoInformatica
30462,J. Inf. Sec. Appl.
30463,Transactions on Data Privacy
30464,IEEE Trans. Parallel Distrib. Syst.
30465,PST
30466,Big Data Research
30467,IEEE Cloud Computing
30468,Int. J. Inf. Sec.
30469,J. Database Manag.
30470,FiCloud
30471,ISI
30472,ISSNIP
30473,NSS
30474,TrustCom/BigDataSE/ISPA (1)
30475,WOWMOM
30476,Neural Networks
30477,J. Artif. Intell. Soft Comput. Res.
30478,ICONIP (2)
30479,Data Knowl. Eng.
30480,AIRS
30481,ICADL
30482,ECol@CIKM
30483,DASFAA Workshops
30484,ICME Workshops
30485,iiWAS
30486,SocInfo
30487,WI-IAT (1)
30488,ACM Trans. Algorithms
30489,Encyclopedia of Big Data Technologies
30490,Applied Network Science
30491,J. Information Telecommunication
30492,MICAI (2)
30493,MICAI (1)
30494,RecSys Challenge
30495,Communications in Computer and Information Science
30496,EDBT/ICDT Workshops
30497,RecSys Posters
30498,RecTemp@RecSys
30499,RecSys
30500,FAS*W@SASO/ICCAC
30501,ACIIDS (1)
30502,EGOVIS
30503,ERCIM News
30504,Ann. Math. Artif. Intell.
30505,SIAM J. Comput.
30506,Vietnam J. Computer Science
30507,INRA@RecSys
30508,LocalRec@RecSys
30509,VTC Spring
30510,Computational & Mathematical Organization Theory
30511,IEEE Intelligent Systems
30512,ICHI
30513,BCB
30514,ISCRAM
30515,RTSI
30516,J. Internet Services and Applications
30517,LDOW@WWW
30518,IEEE Trans. Services Computing
30519,KNOW@LOD
30520,IEEE MS
30521,SmartCity
30522,*SEM@NAACL-HLT
30523,PeerJ PrePrints
30524,Inf. Res.
30525,SecureComm (2)
30526,TrustCom/BigDataSE
30527,J. Network and Computer Applications
30528,SIGCAS Computers and Society
30529,SIGMETRICS Performance Evaluation Review
30530,SOSR
30531,Allerton
30532,IEEE/ACM Trans. Netw.
30533,C2B(I)D@SIGCOMM
30534,ApPLIED@PODC
30535,PODC
30536,USENIX Annual Technical Conference
30537,Operating Systems Review
30538,ASPLOS
30539,DISC
30540,IEEE Data Eng. Bull.
30541,HotStorage
30542,EuroSys
30543,ICDCN
30544,SOSP
30545,NSDI
30546,SIGCOMM
30547,Computer Communication Review
30548,CoNEXT
30549,IJHPCN
30550,EDCC
30551,Euro-Par Workshops
30552,CCGrid
30553,ICIMTH
30554,CLOSER (1)
30555,Expert Syst. Appl.
30556,ARC
30557,DAIS
30558,IEEE Trans. Contr. Sys. Techn.
30559,IWSPA@CODASPY
30560,Information
30561,New Generation Comput.
30562,NLP-TEA@ACL
30563,CHI Extended Abstracts
30564,ICDM Workshops
30565,ICLR (Workshop)
30566,INLG
30567,Interspeech
30568,SemEval@NAACL-HLT
30569,WASSA@EMNLP
30570,CVPR Workshops
30571,EACL (Student Research Workshop)
30572,ICSE (Companion Volume)
30573,ISSRE
30574,RepEval@EMNLP
30575,ICONIP (1)
30576,ASSETS
30577,EUSPN/ICTH
30578,UbiComp/ISWC Adjunct
30579,PACLIC
30580,ICME
30581,OpenSym
30582,IUI
30583,HCI (14)
30584,MMM (1)
30585,Audio Mostly Conference
30586,ICCT
30587,GCCE
30588,ICMU
30589,CAID@IJCAI
30590,JSAI-isAI Workshops
30591,PervasiveHealth
30592,HCI (15)
30593,HealthCom
30594,UbiComp Adjunct
30595,Computación y Sistemas
30596,ACIIDS (Extended Posters)
30597,APSIPA
30598,LREC
30599,SSWS@ISWC
30600,HybridSemStats@ISWC
30601,SoICT
30602,Wirtschaftsinformatik
30603,CompleNet
30604,NUT@IJCNLP
30605,#MSM
30606,NetSoft
30607,MTSR
30608,Computational Intelligence
30609,AAAI Workshop: Symbiotic Cognitive Systems
30610,Winter Simulation Conference
30611,EURASIP J. Information Security
30612,IET Cyper-Phys. Syst.: Theory & Appl.
30613,Journal of Communications and Networks
30614,IEEE Trans. Industrial Informatics
30615,WF-IoT
30616,IET Communications
30617,NCC
30618,Int. J. Auton. Comp.
30619,AAAI Workshop: Artificial Intelligence for Cyber Security
30620,AAAI Fall Symposia
30621,Sarnoff Symposium
30622,PrivOn@ISWC
30623,BDM2I@ISWC
30624,MoDeST@ISWC
30625,LD4IE@ISWC
30626,VTC Fall
30627,IEEE CLOUD
30628,Semdeep/NLIWoD@ISWC
30629,SW4SG@ISWC
30630,ISWC (Best Workshop Papers)
30631,AAAI Spring Symposia
30632,EDGE
30633,IJCNLP (System Demonstrations)
30634,TAC
30635,Language Resources and Evaluation
30636,SemWebEval@ESWC
30637,Semantic Web Enabled Software Engineering
30638,Appl. Math. Lett.
30639,IEEE Trans. Multimedia
30640,HRI (Companion)
30641,ECML/PKDD (2)
30642,Biomed. Signal Proc. and Control
30643,ACM Trans. Graph.
30644,RCAR
30645,SOSE
30646,Comp. Int. and Neurosc.
30647,Computers & Mathematics with Applications
30648,Geo-spatial Information Science
30649,Int. J. Machine Learning & Cybernetics
30650,BIRS-IMLKE
30651,HRI (Extended Abstracts)
30652,ICIG (2)
30653,ROBIO
30654,TAAI
30655,APWeb (1)
30656,ECCV Workshops (2)
30657,IPSN
30658,CHI
30659,COMPSAC (1)
30660,AI Matters
30661,CSCW Companion
30662,SocInfo (2)
30663,HCI (8)
30664,W4A
30665,TOMCCAP
30666,AI Soc.
30667,EC-TEL
30668,ESWC (1)
30669,ESWC (Satellite Events)
30670,EcoMo@ICWSM
30671,INSCI
30672,iJAC
30673,Frontiers in Artificial Intelligence and Applications
30674,IRCDL
30675,IACR Cryptology ePrint Archive
30676,eCrime
30677,The New Codebreakers
30678,Understanding Social Engineering Based Scams
30679,PeerJ Computer Science
30680,BMC Med. Inf. & Decision Making
30681,JAMIA
30682,ICHI Workshops
30683,Games and Economic Behavior
30684,MOBILESoft
30685,TREC
30686,IEEE Robotics and Automation Letters
30687,J. Franklin Institute
30688,Robotics and Autonomous Systems
30689,ICASSP
30690,ICRA
30691,SemSci@ISWC
30692,BMC Systems Biology
30693,International Journal of Computer Vision
30694,J. Visual Communication and Image Representation
30695,ACM Trans. Design Autom. Electr. Syst.
30696,CyberC
30697,The Journal of Supercomputing
30698,IEEE Trans. Med. Imaging
30699,IEEE Trans. Systems Man and Cybernetics: Systems
30700,3DOR
30701,ECCV (8)
30702,INTERSPEECH
30703,RTCSA
30704,Journal of Systems Architecture - Embedded Systems Design
30705,Medical Image Analysis
30706,IEEE Trans. Fuzzy Systems
30707,CIT/IUCC/DASC/PICom
30708,CSCloud
30709,ICSS
30710,ECIR (1)
30711,EDM
30712,ITiCSE
30713,MLDM (2)
30714,PSB
30715,RE
30716,eCOM@SIGIR
30717,NL4SE@ESEC/SIGSOFT FSE
30718,VL/HCC
30719,WPES@CCS
30720,Scientometrics
30721,ICTIR
30722,L@S
30723,Bioinformatics
30724,Natural Language Engineering
30725,IEEE J. Biomedical and Health Informatics
30726,ICWE
30727,ECCV (1)
30728,ACML
30729,WI-IAT (2)
30730,AAMAS
30731,WINE
30732,ECAI
30733,Synthesis Lectures on Data Management
30734,SIGMOD Record
30735,Computational Biology
30736,Neural Processing Letters
30737,IEEE Trans. Reliability
30738,A-Mobile@ASE
30739,ASE
30740,ICPE
30741,ADMA
30742,ICONIP (5)
30743,QRS
30744,IEEE Trans. Cloud Computing
30745,CPSS@AsiaCCS
30746,ICONIP (3)
30747,SIGSOFT FSE
30748,SCIENCE CHINA Information Sciences
30749,Knowl. Inf. Syst.
30750,ICSE (1)
30751,FLAIRS Conference
30752,MobiCASE
30753,Int. J. Hum.-Comput. Stud.
30754,TiiS
30755,AIES
30756,DARS
30757,IROS
30758,RO-MAN
30759,SMC
30760,CASE
30761,GCAI
30762,CMNA@ICAIL
30763,MFI
30764,INFORMS Journal on Computing
30765,IEEE Trans. Human-Machine Systems
30766,ACC
30767,ICAART (1)
30768,Autonomous Agents and Multi-Agent Systems
30769,Operations Research
30770,IEEE Trans. Robotics
30771,EAPCogSci
30772,GDN
30773,HRI
30774,PACMHCI
30775,J. Computer-Mediated Communication
30776,MIS Quarterly
30777,IJCAR
30778,SOFSEM
30779,Inf. Comput.
30780,KI
30781,MFCS
30782,J. Biomedical Semantics
30783,AICCSA
30784,KDIR
30785,GI-Jahrestagung
30786,Int. J. Computer Assisted Radiology and Surgery
30787,Medical Imaging: Image-Guided Procedures
30788,SC
30789,UCC
30790,J. Scheduling
30791,EC
30792,Math. Oper. Res.
30793,ALENEX
30794,APPROX-RANDOM
30795,Algorithmica
30796,Random Struct. Algorithms
30797,J. Electronic Testing
30798,Telecommunication Systems
30799,COMPSAC Workshops
30800,IPDPS
30801,HotCloud
30802,MSST
30803,Int. J. Communication Systems
30804,Wireless Networks
30805,ECCV Workshops (1)
30806,IWISC
30807,NPC
30808,COLT
30809,ISM
30810,DLfM
30811,ALT
30812,CCECE
30813,PIKM@CIKM
30814,CNS
30815,ISMIR
30816,MCM
30817,RecSysKTL
30818,JMLR Workshop and Conference Proceedings
30819,BigMine
30820,Digital Health
30821,Data Min. Knowl. Discov.
30822,SENSORNETS
30823,HotSoS
30824,SSR
30825,ARES
30826,EuroS&P Workshops
30827,FPS
30828,SPACE
30829,CANS
30830,IWSW
30831,CONTEXT
30832,LICS
30833,PAKDD (1)
30834,Electronic Commerce Research
30835,CT-RSA
30836,ASIACRYPT (2)
30837,CRYPTO (1)
30838,COMPASS
30839,EUROCRYPT (3)
30840,TCC (2)
30841,ACNS
30842,EUROCRYPT (1)
30843,HotOS
30844,MobiSys
30845,Public Key Cryptography (2)
30846,TCC (1)
30847,ASIACRYPT (1)
30848,J. Cryptology
30849,EUROCRYPT (2)
30850,DPM/CBT@ESORICS
30851,Journal of Computer Security
30852,J. Funct. Program.
30853,POST
30854,Artificial Intelligence in Medicine
30855,EGC
30856,Data Sci.
30857,AIME
30858,HIS
30859,WHiSe@ISWC
30860,HEALTHINF
30861,BIOSTEC (Selected Papers)
30862,EMSA-RMed@ESWC
30863,KR4HC/ProHealth@HEC
30864,KR4HC/ProHealth
30865,Lecture Notes in Social Networks
30866,Diagrams
30867,IEEE Consumer Electronics Magazine
30868,IEEE Trans. Comput. Social Systems
30869,Dagstuhl Reports
30870,HLT-NAACL Demos
30871,J. Artificial General Intelligence
30872,CODS Companion Volume
30873,NLDB
30874,Encyclopedia of Algorithms
30875,ESA
30876,HCOMP
30877,ICALP
30878,PODS
30879,Data Stream Management
30880,COMSNETS
30881,S3@MobiCom
30882,MobiCom
30883,BuildSys@SenSys
30884,SIGCSE
30885,MobiSys (Companion Volume)
30886,ACM DEV
30887,ICTD
30888,IT for Development
30889,ICT4D
30890,AffCon@AAAI
30891,CLEF (Working Notes)
30892,COMAD/CODS
30893,NewsIR@ECIR
30894,EMNLP (Demonstration)
30895,Softw. Pract. Exper.
30896,Software Quality Journal
30897,CloudCom
30898,IJCNLP(2)
30899,KG4IR@SIGIR
30900,IJDMMM
30901,IJIDS
30902,FIRE (Working Notes)
30903,SRW@HLT-NAACL
30904,IJIRR
30905,Research in Computing Science
30906,QuASoQ/WAWSE/CMCE@APSEC
30907,ISEC
30908,MIKE
30909,OSDI
30910,GKR
30911,J. Solid-State Circuits
30912,3DIC
30913,Inf. Sci.
30914,Nucleic Acids Research
30915,Remote Sensing
30916,Algorithms
30917,Briefings in Bioinformatics
30918,Comp. Med. Imag. and Graph.
30919,Entropy
30920,Intelligent Decision Technologies
30921,Int. Journal of Network Management
30922,Int. J. Online Eng.
30923,Industrial Management and Data Systems
30924,Informatica Lith. Acad. Sci.
30925,J. Computational Applied Mathematics
30926,Journal of Circuits Systems and Computers
30927,Journal of Documentation
30928,IEEE J Sel. Topics in Appl. Earth Observ. and Remote Sensing
30929,IEEE Trans. Biomed. Circuits and Systems
30930,IEEE/ACM Trans. Comput. Biology Bioinform.
30931,Wireless Personal Communications
30932,AICCC
30933,CISP-BMEI
30934,CASES
30935,CSAI/ICIMT
30936,ECCV Workshops (5)
30937,eLEOT
30938,FIE
30939,I3E
30940,ICACI
30941,ICBL
30942,ICCE
30943,DSL
30944,ICIC (3)
30945,ICSOC
30946,IECON
30947,ISPA/IUCC/BDCloud/SocialCom/SustainCom
30948,ISSRE Workshops
30949,ITW
30950,Nursing Informatics
30951,UR
30952,Computers & Electrical Engineering
30953,Cluster Computing
30954,Earth Science Informatics
30955,Future Internet
30956,IEEE Communications Letters
30957,I. J. Bifurcation and Chaos
30958,J. Parallel Distrib. Comput.
30959,Simulation
30960,Signal Processing Systems
30961,APNOMS
30962,CIS
30963,CRI
30964,DSAA
30965,HCI (18)
30966,ICIC (1)
30967,ICIRA (1)
30968,ICCC
30969,IIKI
30970,ISIT
30971,SEAL
30972,SEKE
30973,SERA
30974,VTC-Fall
30975,Prediction and Inference from Social Networks and Social Media
30976,Appl. Soft Comput.
30977,IJGUC
30978,International Journal of Software Engineering and Knowledge Engineering
30979,J. Sensors
30980,IEEE Trans. Wireless Communications
30981,ICEC
30982,CollaborateCom
30983,CWMT
30984,ES
30985,ICNC-FSKD
30986,Intelligent Information Processing
30987,LISS
30988,MSN
30989,SmartCom
30990,TRIDENTCOM
30991,Computer Methods and Programs in Biomedicine
30992,Digital Signal Processing
30993,IJDSN
30994,J. Electrical and Computer Engineering
30995,J. Multivariate Analysis
30996,SCC
30997,AP-BPM
30998,GRMSE
30999,HMWC
31000,IMIS
31001,IScIDE (2)
31002,IScIDE (1)
31003,ISNN
31004,MASS
31005,MVA
31006,ICSI (2)
31007,WCSP
31008,Interactions
31009,MobileHCI
31010,IEEE Trans. Emerging Topics in Comput. Intellig.
31011,topiCS
31012,Computer Science Review
31013,ECML/PKDD (3)
31014,J. Web Science
31015,VSMM
31016,ICCBR
31017,ITS
31018,Social Information Access
31019,HealthRecSys@RecSys
31020,AICS
31021,SGAI Conf.
31022,Advances in Social Media Analysis
31023,Recommender Systems Handbook
31024,Front. Robotics and AI
31025,AutomotiveUI (adjunct)
31026,HAI
31027,SIGMIS-CPR
31028,ICCBR Workshops
31029,TweetMT@SEPLN
31030,Conference on Designing Interactive Systems
31031,Applied Ontology
31032,SAD/CrowdBias@HCOMP
31033,SEMANTICS Workshops
31034,ArgMining@ACL
31035,URSW@ISWC
31036,e-Science
31037,GSB@SIGIR
31038,GIoTS
31039,IOT
31040,SEMANTICS
31041,OTM Conferences (2)
31042,SWIT@ISWC
31043,DeSemWeb@ISWC
31044,CPS Data
31045,GvD
31046,ICECCS
31047,SALAD@ESWC
31048,BIS
31049,EGOV
31050,WIMS
31051,PRO-VE
31052,KESW
31053,OTM Workshops
31054,ACL (4)
31055,EKAW (Posters & Demos)
31056,IRC
31057,Reasoning Web
31058,VS-GAMES
31059,D-Lib Magazine
31060,J. Data Semantics
31061,J. Web Eng.
31062,IEEE Trans. Cognitive and Developmental Systems
31063,EACL (1)
31064,SWCN@EMNLP
31065,SEMANTICS Posters&Demos
31066,ICDL-EPIROB
31067,JOWO
31068,LDK
31069,STAF Workshops
31070,MOD
31071,MORSE@RoboCup
31072,KEKI/NLP&DBpedia@ISWC
31073,ICSR
31074,LDL@IJCNLP
31075,MSW@ESWC
31076,SEMANTiCS (Posters & Demos)
31077,IESD@ISWC
31078,NLP-DBPEDIA@ISWC
31079,SW4CH@ESWC
31080,ADBIS (Short Papers and Workshops)
31081,Quantum Information Processing
31082,Intelligent Automation & Soft Computing
31083,I. J. Network Security
31084,Manufacturing & Service Operations Management
31085,Security and Communication Networks
31086,IEEE Trans. Smart Grid
31087,ICCCS (1)
31088,ISC2
31089,MMM (2)
31090,RFC
31091,WoT
31092,AICOL
31093,DCAI
31094,PAAMS (Workshops)
31095,RANLP
31096,EKAW (Satellite Events)
31097,OWLED
31098,Computer Standards & Interfaces
31099,Interactive Learning Environments
31100,JURIX
31101,ICIC (2)
31102,BDA@AVI
31103,Journal of Visualization and Computer Animation
31104,ELPUB
31105,HCI (7)
31106,ISAmI
31107,WEBIST
31108,GOODTECHS
31109,HCI (27)
31110,TELERISE@ICSE
31111,ITBAM
31112,REHAB (Revised Selected Papers)
31113,REHAB
31114,BJET
31115,ANT/SEIT
31116,ICCHP (1)
31117,ACM SIGACCESS
31118,AAATE Conf.
31119,mLearn
31120,iConference
31121,IUI Workshops
31122,CHI PLAY (Companion)
31123,W2GIS
31124,EDB
31125,NMT@ACL
31126,AFRICACRYPT
31127,CollabTech
31128,HCI (1)
31129,HCI (3)
31130,INTETAIN
31131,OZCHI
31132,Trans. GIS
31133,IA3@SC
31134,IEEE Trans. on CAD of Integrated Circuits and Systems
31135,SBP
