author_id, first_publication_year, number_of_publications, number_of_first_author_publications, number_of_coauthors, affiliation 
1047, 1997, 95, 19, 374, 
1048, 1982, 376, 38, 1273, University of Tokyo Japan
1049, 2000, 170, 27, 705, 
1050, 1999, 242, 26, 1123, University of California Santa Barbara Computer Science Department
1051, 1994, 128, 13, 702, Qatar Computing Research Institute HBKU Qatar
1052, 2006, 69, 15, 303, 
1053, 1981, 1002, 365, 3504, Purdue University
1054, 2001, 55, 21, 178, 
1055, 2005, 17, 11, 68, 
1056, 1977, 418, 36, 1396, 
1057, 2006, 6, 3, 20, 
1058, 2000, 17, 7, 55, 
1059, 2005, 3, 1, 12, 
1060, 2003, 32, 2, 137, 
1061, 1977, 125, 43, 474, 
1062, 2005, 12, 0, 51, 
1063, 1984, 460, 85, 1967, Wright State University Dayton Kno.e.sis Center
1064, 1994, 86, 25, 295, University of South Australia
1065, 1990, 110, 38, 379, AT&T Inc
1066, 1986, 58, 23, 159, 
1067, 1993, 50, 6, 258, Stanford University USA
1068, 1996, 90, 67, 333, VMware Palo Alto CA USA
1069, 1993, 200, 15, 1078, University of California San Diego USA
1070, 1996, 88, 12, 386, Technical University of Madrid Computer Science School
1071, 1996, 100, 37, 452, 
1072, 1997, 45, 41, 137, 
1073, 2003, 20, 3, 64, 
1074, 1999, 51, 14, 169, 
1075, 2006, 6, 1, 23, 
1076, 1996, 44, 25, 150, 
1077, 1998, 162, 23, 613, 
1078, 2000, 39, 9, 196, 
1079, 1996, 71, 17, 355, 
1080, 1989, 167, 11, 699, National Institute of Informatics (NII) Tokyo Japan
1081, 1981, 308, 19, 994, 
1082, 2006, 28, 11, 187, Thomas J. Watson Research Center Yorktown Heights USA
1083, 2003, 55, 18, 393, Rensselaer Polytechnic Institute Troy NY USA
1084, 2005, 23, 7, 129, University of Maryland USA
1085, 1993, 265, 17, 1141, University of Maryland USA
1086, 1977, 307, 37, 1470, University of Maryland USA
1087, 2004, 93, 34, 442, 
1088, 2001, 29, 5, 177, IBM China Research Lab Beijing
1089, 2001, 343, 1, 1716, Shanghai Jiao Tong University Department of Computer Science Apex Data and Knowledge Management Lab China
1090, 2005, 93, 36, 400, Thomas J. Watson Research Center Yorktown Heights USA
1091, 1983, 194, 16, 730, Stony Brook University USA
1092, 2004, 55, 6, 259, 
1093, 2003, 56, 17, 248, 
1094, 2004, 57, 22, 257, Baidu
1095, 2002, 40, 3, 217, 
1096, 2001, 174, 9, 969, Microsoft Research Asia Beijing China
1097, 2000, 9, 4, 32, Yahoo!
1098, 1996, 24, 7, 84, 
1099, 2000, 10, 0, 39, 
1100, 2000, 125, 24, 532, 
1101, 1995, 90, 36, 368, 
1102, 1994, 149, 73, 436, 
1103, 2006, 14, 6, 125, 
1104, 2004, 14, 6, 32, 
1105, 2002, 136, 18, 643, University of Michigan Ann Arbor USA
1106, 2003, 23, 12, 83, Microsoft Research
1107, 1999, 188, 78, 871, 
1108, 1990, 345, 31, 1256, University of Illinois USA
1109, 2004, 26, 19, 98, 
1110, 2003, 238, 44, 983, Singapore Management University School of Information Systems
1111, 2001, 257, 21, 1297, Microsoft Research
1112, 1998, 234, 57, 826, Nanyang Technological University Singapore
1113, 1988, 483, 25, 1759, Chinese University of Hong Kong Department of Computer Science and Engineering
1114, 1995, 323, 19, 1534, Microsoft Research
1115, 2005, 9, 7, 28, 
1116, 1992, 106, 12, 338, New York University Tandon School of Engineering New York City USA
1117, 2001, 29, 16, 126, Hewlett Packard Enterprise Labs Palo Alto CA USA
1118, 1985, 422, 51, 1559, Carnegie Mellon University Pittsburgh USA
1119, 1979, 178, 28, 635, Carnegie Mellon University Human-Computer Interaction Institute Pittsburgh PA USA
1120, 2004, 125, 48, 420, TU Dresden Germany
1121, 2004, 79, 20, 297, Google San Francisco CA USA
1122, 1977, 191, 33, 897, Karlsruhe Institute of Technology Germany
1123, 1988, 46, 6, 221, 
1124, 1990, 42, 9, 194, 
1125, 1996, 58, 13, 255, IBM
1126, 1998, 161, 16, 533, IBM Research
1127, 2002, 43, 11, 190, 
1128, 1990, 84, 13, 280, University of California at Santa Barbara USA
1129, 1999, 360, 67, 1392, Michigan State University East Lansing USA
1130, 1989, 472, 66, 2022, Hong Kong University of Science and Technology Department of Computer Science Kowloon Hong Kong
1131, 1972, 185, 132, 352, University of Technology Sydney Australia
1132, 1983, 158, 48, 526, University College London UK
1133, 2004, 78, 55, 211, INRIA Paris France
1134, 1977, 34, 17, 91, 
1135, 1996, 47, 15, 203, 
1136, 1990, 61, 29, 153, 
1137, 1993, 126, 56, 434, IIT Bombay
1138, 2006, 10, 6, 32, 
1139, 1998, 68, 18, 225, 
1140, 2005, 30, 8, 117, 
1141, 2003, 6, 1, 23, 
1142, 1993, 326, 196, 1104, Stanford University USA
1143, 1982, 236, 48, 764, Stanford University Department of Computer Science
1144, 1997, 30, 26, 62, University of California Irvine USA
1145, 1984, 235, 41, 1023, VU University Amsterdam Netherlands
1146, 1984, 287, 48, 1160, University of Southampton UK
1147, 1988, 63, 25, 270, Massachusetts Institiute of Technology Cambridge MA USA
1148, 1980, 256, 72, 1008, Rensselaer Polytechnic Institute Troy NY USA
1149, 1992, 149, 97, 440, University of Pisa Italy
1150, 1984, 347, 55, 1201, Rutgers University Department of Computer Science
1151, 1998, 77, 13, 328, 
1152, 2002, 9, 3, 42, 
1153, 1991, 139, 30, 645, University of California Berkeley USA
1154, 1993, 104, 24, 360, University of Michigan School of Information
1155, 2003, 57, 13, 233, University of California Berkeley USA
1156, 1974, 103, 28, 316, University of Washington Seattle USA
1157, 2005, 25, 9, 90, 
1158, 2006, 22, 15, 62, 
1159, 2002, 203, 9, 704, 
1160, 1999, 56, 21, 251, 
1161, 1986, 51, 5, 267, 
1162, 2001, 46, 13, 239, Microsoft Research
1163, 2000, 202, 14, 968, Microsoft Research
1164, 1996, 15, 5, 98, 
1165, 1992, 739, 261, 3201, 
1166, 2005, 84, 30, 366, University of Glasgow UK
1167, 1987, 82, 9, 224, University College Dublin Ireland
1168, 1992, 338, 74, 1040, University College Dublin Insight Centre for Data Analytics Ireland
1169, 2005, 6, 6, 12, 
1170, 1987, 169, 26, 454, 
1171, 2003, 26, 14, 111, 
1172, 2006, 24, 14, 115, 
1173, 1996, 14, 12, 30, 
1174, 2004, 21, 7, 60, 
1175, 2003, 108, 18, 423, 
1176, 1997, 67, 21, 159, 
1177, 1992, 36, 15, 133, 
1178, 1998, 169, 37, 892, VU University Amsterdam Computer Science Department Netherlands
1179, 1996, 113, 71, 341, Microsoft
1180, 2004, 112, 27, 419, Karlsruhe Institute of Technology Institute AIFB
1181, 2004, 31, 18, 102, 
1182, 1992, 254, 28, 1155, RWTH Aachen University
1183, 2003, 206, 42, 860, Bielefeld University
1184, 2001, 116, 30, 610, metaphacts GmbH Walldorf Germany
1185, 2004, 60, 21, 267, 
1186, 1996, 115, 62, 284, 
1187, 1993, 206, 31, 781, Universidad Politécnica de Madrid
1188, 2002, 20, 1, 66, 
1189, 1994, 32, 19, 138, 
1190, 2000, 70, 10, 291, National Research Council Italy
1191, 2002, 75, 21, 250, 
1192, 2001, 165, 28, 650, Universitat Pompeu Fabra Barcelona Spain
1193, 2006, 13, 10, 47, 
1194, 2003, 154, 44, 597, Kyoto University
1195, 2004, 84, 7, 371, 
1196, 2005, 63, 14, 227, 
1197, 1991, 71, 13, 310, 
1198, 2006, 2, 1, 5, 
1199, 2006, 16, 10, 80, 
1200, 2002, 28, 5, 134, 
1201, 1994, 305, 20, 1162, Pennsylvania State University University Park USA
1202, 1978, 144, 27, 471, Pontifical Catholic University of Rio de Janeiro Brazil
1203, 1991, 577, 176, 2617, 
1204, 2002, 79, 22, 392, 
1205, 2003, 39, 5, 138, 
1206, 2006, 15, 8, 63, 
1207, 1997, 166, 29, 551, Chemnitz University of Technology Germany
1208, 2004, 23, 9, 69, 
1209, 2006, 13, 4, 59, 
1210, 1987, 235, 23, 989, Delft University of Technology Netherlands
1211, 1999, 46, 22, 161, Vienna University of Technology Austria
1212, 2006, 136, 53, 653, 
1213, 1989, 189, 32, 871, Polytechnic University of Milan Italy
1214, 1999, 71, 16, 217, Kyoto University Japan
1215, 1989, 307, 117, 1011, City University of Hong Kong
1216, 1995, 219, 46, 867, City University of Hong Kong
1217, 2006, 33, 7, 152, 
1218, 1988, 306, 23, 1160, Chinese University of Hong Kong
1219, 1998, 129, 37, 307, 
1220, 2003, 41, 21, 135, 
1221, 1991, 587, 24, 2206, University of Amsterdam Netherlands
1222, 1987, 432, 229, 1292, NTENT
1223, 2006, 2, 1, 7, 
1224, 2003, 5, 1, 24, 
1225, 2004, 32, 14, 136, Ural Federal University Yekaterinburg Russia
1226, 2005, 13, 4, 58, 
1227, 1999, 24, 6, 96, 
1228, 1992, 103, 7, 465, 
1229, 2001, 37, 1, 143, 
1230, 2004, 86, 18, 294, Max Planck Institute for Informatics Saarbrücken Germany
1231, 2001, 65, 10, 243, IBM India Research Lab New Delhi India
1232, 1993, 208, 27, 709, 
1233, 1983, 557, 80, 2074, Max Planck Institute for Informatics Saarbrücken Germany
1234, 1997, 81, 65, 362, Sapienza University of Rome Italy
1235, 2006, 59, 7, 238, 
1236, 1994, 213, 100, 621, 
1237, 2005, 53, 14, 254, Jozef Stefan Institute
1238, 1991, 113, 12, 594, 
1239, 1992, 165, 26, 588, Jozef Stefan Institute Ljubljana Slovenia
1240, 1995, 175, 20, 578, Nanyang Technological University Singapore
1241, 2003, 51, 10, 165, University of Chile
1242, 1989, 71, 12, 208, 
1243, 1989, 158, 12, 506, 
1244, 2004, 169, 66, 469, Peking University Institute of Computer Science and Technology MOE Key Laboratory of Computational Linguistics Beijing China
1245, 2002, 52, 6, 168, 
1246, 2005, 60, 28, 185, Northeastern University Boston MA USA
1247, 1988, 547, 129, 2315, 
1248, 1986, 94, 22, 289, Colorado State University USA
1249, 2002, 55, 12, 275, 
1250, 2006, 16, 7, 69, 
1251, 2006, 7, 5, 24, 
1252, 1997, 1053, 133, 4780, Huazhong University of Science and Technology School of Computer Science and Technology Services Computing Technology and System Lab Cluster and Grid Computing Lab Wuhan China
1253, 2003, 68, 28, 297, 
1254, 2006, 6, 5, 24, 
1255, 1996, 130, 10, 579, Universidade Federal do Amazonas
1256, 1995, 21, 4, 90, 
1257, 1996, 44, 14, 183, 
1258, 2006, 6, 2, 17, 
1259, 1995, 191, 54, 597, Technion - Israel Institute of Technology Haifa Israel
1260, 2003, 8, 5, 25, 
1261, 1996, 93, 9, 439, 
1262, 1999, 153, 11, 538, Indian Statistical Institute India
1263, 1997, 79, 6, 419, North Carolina State University Raleigh USA
1264, 2002, 84, 24, 365, 
1265, 1997, 161, 40, 457, Norwegian University of Science and Technology Norway
1266, 1990, 157, 23, 626, University of Manchester UK
1267, 2005, 143, 56, 466, University of Stavanger Norway
1268, 1992, 141, 35, 425, 
1269, 2006, 27, 12, 119, Unlimited Labs San Francisco CA USA
1270, 1993, 62, 49, 108, 
1271, 2004, 43, 23, 182, Microsoft Research
1272, 2001, 155, 9, 697, Microsoft Research Asia Beijing China
1273, 2000, 42, 23, 178, 
1274, 2000, 231, 36, 1195, Technical University of Madrid Spain
1275, 1981, 201, 123, 612, Ludwig Maximilian University of Munich Germany
1276, 2002, 80, 27, 377, Oxford University Department of Computer Science
1277, 2006, 17, 1, 78, Ludwig Maximilian University of Munich Germany
1278, 2005, 58, 14, 274, 
1279, 2004, 34, 17, 154, 
1280, 2004, 14, 3, 49, Aalto University Finland
1281, 2003, 41, 25, 125, Stanford University CA USA
1282, 2004, 3, 3, 8, 
1283, 1990, 148, 11, 496, 
1284, 1988, 237, 96, 929, 
1285, 1999, 201, 12, 915, Tsinghua University Beijing China
1286, 2001, 246, 50, 1007, University of Aberdeen Department of Computing Science
1287, 2003, 152, 18, 522, National University of Ireland Galway Ireland
1288, 1997, 104, 71, 396, University of Lyon France
1289, 1999, 164, 29, 702, INRIA France
1290, 2000, 76, 6, 336, University of Calabria Department of Electronics Computer Science and Systems Rende Italy
1291, 2000, 121, 33, 415, Federal University of Minas Gerais Belo Horizonte Brazil
1292, 2000, 34, 9, 141, 
1293, 1990, 191, 11, 709, University of California Riverside USA
1294, 2000, 17, 8, 81, 
1295, 1986, 394, 79, 1614, University of California Santa Barbara USA
1296, 1984, 356, 16, 1273, University of California Santa Barbara USA
1297, 1984, 181, 24, 508, University of Calgary Canada
1298, 1990, 36, 17, 112, 
1299, 1995, 275, 15, 1142, University of Massachusetts Amherst USA
1300, 2005, 25, 3, 131, 
1301, 2005, 33, 18, 158, 
1302, 1992, 343, 124, 1115, University of Pittsburgh USA
1303, 2006, 8, 0, 40, 
1304, 2000, 145, 28, 533, University of Pittsburgh
1305, 2001, 206, 79, 720, University of Glasgow UK
1306, 1987, 68, 7, 327, 
1307, 2006, 47, 16, 200, 
1308, 1992, 54, 16, 249, Amazon
1309, 1995, 29, 6, 131, 
1310, 1996, 91, 11, 503, 
1311, 2002, 8, 1, 68, 
1312, 2005, 9, 1, 56, 
1313, 1995, 69, 15, 289, 
1314, 1988, 65, 20, 273, 
1315, 2006, 5, 0, 20, 
1316, 2000, 106, 17, 465, 
1317, 2001, 56, 28, 194, Carnegie Mellon University Pittsburgh USA
1318, 2002, 32, 8, 103, 
1319, 2006, 3, 1, 9, 
1320, 2007, 3, 0, 15, 
1321, 2002, 67, 10, 344, Microsoft Research
1322, 1990, 115, 27, 407, 
1323, 1990, 167, 33, 607, University of British Columbia Vancouver Canada
1324, 1997, 82, 45, 211, 
1325, 1994, 40, 27, 151, IBM Almaden Research Center San Jose USA
1326, 1986, 47, 16, 197, 
1327, 1995, 25, 16, 72, Stanford University USA
1328, 2004, 62, 27, 270, Troo.ly
1329, 1995, 108, 43, 457, 
1330, 2004, 14, 4, 81, Microsoft Research Asia Beijing China
1331, 2002, 26, 8, 116, 
1332, 1995, 86, 28, 317, University of Michigan Ann Arbor USA
1333, 1985, 197, 32, 639, University of Washington Seattle Washington USA
1334, 1995, 69, 10, 309, University of Washington Seattle Washington USA
1335, 2004, 31, 19, 105, 
1336, 1992, 302, 99, 971, Cornell University Ithaca USA
1337, 2002, 28, 19, 130, 
1338, 2003, 72, 22, 321, 
1339, 2000, 13, 1, 66, 
1340, 1996, 91, 11, 438, 
1341, 2004, 6, 2, 22, 
1342, 2006, 122, 15, 664, 
1343, 2007, 2, 0, 8, 
1344, 1982, 625, 65, 2545, Carnegie Mellon University Pittsburgh USA
1345, 2004, 14, 8, 42, Pitney Bowes Shelton CT USA
1346, 1988, 138, 41, 494, University of Michigan Ann Arbor USA
1347, 1998, 94, 24, 355, Facebook
1348, 1996, 72, 20, 302, 
1349, 1999, 39, 15, 183, 
1350, 1990, 18, 9, 75, 
1351, 2004, 23, 16, 69, Google Inc. Mountain View CA USA
1352, 2004, 14, 8, 57, 
1353, 2004, 13, 11, 45, 
1354, 1994, 217, 17, 861, 
1355, 1994, 124, 69, 396, University of California Santa Cruz USA
1356, 2001, 25, 6, 89, Hewlett-Packard Labs Palo Alto USA
1357, 2006, 12, 4, 54, Microsoft AI & Research Sunnyvale CA USA
1358, 2002, 79, 14, 387, 
1359, 2007, 49, 22, 228, 
1360, 1992, 93, 36, 361, 
1361, 2006, 13, 7, 51, 
1362, 2002, 22, 9, 79, 
1363, 1996, 63, 9, 246, 
1364, 2001, 41, 24, 141, 
1365, 1981, 336, 65, 1153, Indian Institute of Technology Bombay India
1366, 2002, 58, 15, 252, 
1367, 2006, 9, 4, 52, Cornell University Ithaca NY USA
1368, 2007, 19, 9, 118, Google
1369, 2006, 2, 1, 13, 
1370, 1974, 98, 24, 429, 
1371, 1995, 246, 40, 1099, Microsoft USA
1372, 1997, 69, 11, 373, Yahoo Research
1373, 2007, 6, 5, 24, 
1374, 1972, 93, 25, 322, AT&T Inc
1375, 1995, 86, 5, 410, 
1376, 2006, 84, 27, 272, 
1377, 1999, 112, 16, 474, King Abdullah University of Science & Technology Saudi Arabia
1378, 1999, 68, 11, 263, 
1379, 1998, 59, 23, 320, Carnegie Mellon University Pittsburgh USA
1380, 2002, 8, 5, 34, 
1381, 2002, 62, 28, 243, Indian Institute of Technology at Gandhinagar Computer Science Department
1382, 2001, 83, 48, 234, 
1383, 1989, 34, 13, 135, 
1384, 2002, 42, 28, 159, 
1385, 1994, 190, 38, 896, New York University Tandon School of Engineering New York City USA
1386, 2003, 288, 43, 1051, Stanford University USA
1387, 1986, 185, 41, 691, Microsoft Research
1388, 1985, 334, 63, 1125, Microsoft Research
1389, 2007, 20, 9, 94, 
1390, 2002, 186, 37, 925, 
1391, 2005, 33, 0, 231, Academy of Mathematics and Systems Science Chinese Academy of Sciences
1392, 1996, 180, 22, 757, Huawei Technologies Noah's Ark Laboratories Hong Kong
1393, 1995, 28, 7, 177, IBM Research - Almaden San Jose CA USA
1394, 1999, 51, 21, 217, 
1395, 1992, 49, 11, 250, 
1396, 2005, 46, 11, 289, 
1397, 2001, 16, 5, 64, 
1398, 2007, 6, 0, 38, 
1399, 2000, 90, 14, 480, 
1400, 2007, 2, 1, 5, 
1401, 2005, 5, 1, 16, 
1402, 1999, 93, 54, 443, Microsoft Research
1403, 1999, 88, 3, 426, Microsoft Research
1404, 2003, 128, 39, 501, Microsoft Research
1405, 1999, 106, 27, 370, 
1406, 2007, 32, 14, 130, 
1407, 1979, 70, 15, 263, Northwestern University Illinois USA
1408, 1991, 112, 66, 388, University of Wisconsin USA
1409, 2007, 40, 8, 203, 
1410, 2002, 66, 14, 344, Microsoft Research Bejing China
1411, 2002, 32, 8, 140, 
1412, 1999, 111, 25, 445, Simon Fraser University Burnaby BC Canada
1413, 2004, 49, 3, 288, Microsoft Research
1414, 1989, 40, 13, 134, 
1415, 2003, 51, 14, 302, 
1416, 1997, 56, 13, 277, Microsoft Research
1417, 2002, 93, 37, 371, 
1418, 1997, 139, 15, 634, Carnegie Mellon University Pittsburgh USA
1419, 1989, 138, 15, 695, Carnegie Mellon University Pittsburgh PA USA
1420, 2005, 148, 26, 579, 
1421, 2005, 12, 6, 47, 
1422, 2001, 190, 15, 697, University of Manchester UK
1423, 1996, 167, 29, 587, Brown University Computer Science Department Providence USA
1424, 1988, 92, 42, 243, The MITRE Corporation Bedford MA USA
1425, 2006, 98, 27, 350, Télécom ParisTech Paris France
1426, 2007, 49, 13, 192, 
1427, 1982, 303, 122, 1340, 
1428, 2004, 169, 52, 710, University of Oxford UK
1429, 1995, 219, 9, 741, University of Manchester
1430, 1991, 240, 72, 871, MIT Cambridge US
1431, 1996, 137, 14, 607, MIT CSAIL Cambridge MA USA
1432, 2004, 6, 4, 27, 
1433, 2004, 24, 4, 164, IBM China Research Lab Beijing China
1434, 2007, 9, 0, 65, IBM China Research Laboratory Beijing China
1435, 1997, 94, 26, 549, 
1436, 2004, 44, 3, 278, 
1437, 2005, 114, 49, 377, 
1438, 1996, 163, 25, 675, University of Sheffield England UK
1439, 1999, 198, 27, 847, Vienna University of Economics and Business Austria
1440, 2002, 46, 10, 136, 
1441, 2004, 9, 3, 31, 
1442, 2002, 147, 44, 519, University of Oxford UK
1443, 2006, 25, 4, 104, 
1444, 2006, 68, 19, 267, Karlsruhe Institute of Technology Germany
1445, 2007, 43, 2, 164, 
1446, 2007, 79, 23, 328, Qatar Computing Research Institute
1447, 1997, 71, 4, 309, 
1448, 1997, 183, 23, 759, University of Passau Germany
1449, 2006, 27, 13, 143, 
1450, 2000, 93, 7, 405, ERNET India
1451, 1996, 93, 18, 368, Hewlett Packard Enterprise Labs Calgary Canada
1452, 2003, 19, 4, 81, 
1453, 1990, 150, 70, 425, 
1454, 1996, 296, 45, 1250, University of New South Wales Sydney Australia
1455, 2002, 33, 6, 140, 
1456, 1995, 259, 57, 1165, 
1457, 1999, 465, 162, 2072, 
1458, 2004, 99, 35, 549, 
1459, 2002, 34, 22, 86, 
1460, 1985, 301, 52, 837, Swiss Federal Institute of Technology in Lausanne Switzerland
1461, 2001, 232, 61, 880, University of Lugano Switzerland
1462, 2004, 63, 12, 392, 
1463, 2004, 41, 18, 173, 
1464, 2006, 14, 9, 80, 
1465, 2003, 132, 27, 467, University of Georgia Athens USA
1466, 1997, 169, 24, 631, University of Jena Germany
1467, 2007, 9, 5, 36, 
1468, 2006, 38, 20, 551, 
1469, 1992, 77, 31, 248, National University of Singapore (NUS)
1470, 2001, 32, 14, 145, 
1471, 1986, 104, 24, 522, 
1472, 1997, 60, 6, 287, IBM Almaden Research Center San Jose CA USA
1473, 2000, 84, 24, 392, 
1474, 1995, 201, 22, 752, 
1475, 1989, 234, 84, 675, University of Edinburgh UK
1476, 2005, 12, 8, 52, 
1477, 2005, 26, 9, 88, 
1478, 2005, 135, 75, 525, 
1479, 2004, 19, 8, 75, 
1480, 2005, 5, 3, 36, 
1481, 2002, 13, 9, 43, 
1482, 2005, 136, 44, 553, 
1483, 2006, 6, 3, 27, 
1484, 1996, 29, 4, 122, 
1485, 2002, 215, 33, 1164, 
1486, 2005, 13, 10, 63, 
1487, 2000, 170, 7, 903, Tsinghua University Department of Computer Science and Technology Beijing China
1488, 2000, 198, 1, 1035, 
1489, 2003, 42, 3, 217, 
1490, 2006, 14, 12, 59, Pennsylvania State University University Park PA USA
1491, 2005, 53, 15, 236, 
1492, 2004, 28, 18, 143, 
1493, 2001, 346, 15, 1776, Zhejiang University Zhejiang Provincial Key Laboratory of Service Robot Hangzhou China
1494, 1989, 444, 25, 2163, 
1495, 2006, 13, 3, 67, 
1496, 2004, 13, 5, 64, Zhejiang University College of Computer Science China
1497, 1997, 214, 86, 678, Qatar Computing Research institute Doha Qatar
1498, 1991, 744, 260, 3346, 
1499, 2007, 130, 22, 649, Northeastern University Boston USA
1500, 2004, 42, 11, 264, Microsoft Research Asia Beijing China
1501, 2002, 704, 32, 3620, National University of Singapore Department of Electrical and Computer Engineering
1502, 2007, 9, 0, 30, 
1503, 2006, 16, 3, 65, 
1504, 1988, 73, 7, 243, 
1505, 2003, 54, 28, 230, 
1506, 1995, 138, 42, 453, University of Amsterdam Netherlands
1507, 2000, 88, 34, 370, 
1508, 2007, 3, 1, 15, 
1509, 1999, 344, 123, 1325, 
1510, 2002, 130, 65, 569, 
1511, 2002, 160, 37, 670, 
1512, 1994, 382, 28, 1748, 
1513, 1999, 322, 163, 1364, 
1514, 2006, 18, 8, 79, Pennsylvania State University
1515, 1997, 40, 19, 110, 
1516, 2002, 23, 3, 68, 
1517, 2000, 53, 8, 202, IIT Delhi India
1518, 1989, 54, 10, 293, Microsoft Research Asia Beijing China
1519, 2004, 99, 21, 461, 
1520, 1994, 217, 66, 1051, 
1521, 2002, 82, 36, 359, 
1522, 2000, 28, 15, 87, University of Pittsburgh Pennsylvania USA
1523, 1995, 11, 2, 27, 
1524, 2001, 117, 35, 439, 
1525, 1990, 72, 16, 220, 
1526, 2005, 14, 8, 45, 
1527, 1998, 74, 60, 201, Hebrew University of Jerusalem Israel
1528, 1997, 107, 34, 304, Technion - Israel Institute of Technology Haifa Israel
1529, 2007, 14, 1, 90, 
1530, 2005, 14, 6, 67, 
1531, 2006, 12, 1, 64, 
1532, 1990, 434, 96, 1630, Swiss Federal Institute of Technology in Lausanne Switzerland
1533, 1997, 58, 5, 261, 
1534, 1998, 57, 13, 248, 
1535, 2004, 85, 20, 491, Microsoft Research Asia Beijing China
1536, 2005, 12, 8, 34, 
1537, 1988, 217, 57, 734, University of Illinois at Chicago Department of Computer Science IL USA
1538, 2005, 53, 15, 172, 
1539, 1985, 98, 13, 353, University of New South Wales Sydney Australia
1540, 1988, 21, 16, 44, 
1541, 1989, 13, 11, 33, 
1542, 2007, 4, 1, 10, 
1543, 1999, 39, 19, 186, Scripps Research Institute San Diego CA USA
1544, 2001, 71, 12, 522, 
1545, 2004, 66, 13, 299, 
1546, 2007, 28, 16, 111, Wuhan University of Technology China
1547, 2002, 6, 1, 17, 
1548, 2005, 9, 6, 24, 
1549, 2002, 10, 10, 10, 
1550, 1994, 83, 13, 386, Brigham Young University Provo Utah USA
1551, 1992, 17, 6, 72, 
1552, 2005, 36, 12, 159, 
1553, 1999, 81, 1, 253, 
1554, 1990, 335, 35, 1341, 
1555, 1987, 80, 24, 272, New York University USA
1556, 1993, 57, 21, 297, Hewlett Packard Enterprise Labs Palo Alto CA USA
1557, 1991, 69, 19, 300, 
1558, 1994, 36, 6, 190, 
1559, 2004, 23, 19, 53, Trinity College Dublin Ireland
1560, 2002, 202, 99, 831, Politecnico di Milano Dipartimento di Elettronica e Informazione Italy
1561, 1998, 61, 17, 319, 
1562, 2005, 22, 4, 99, 
1563, 1998, 102, 43, 375, Old Dominion University Norfolk Virginia USA
1564, 2004, 73, 59, 167, University of California Santa Cruz USA
1565, 1994, 158, 35, 606, Los Alamos National Laboratory NM USA
1566, 2006, 112, 17, 684, 
1567, 2006, 51, 7, 224, Beihang University School of Computer Science and Engineering Beijing China
1568, 2000, 133, 10, 528, Beihang University Department of Computer Science and Engineering China
1569, 2005, 51, 6, 190, 
1570, 2000, 126, 4, 540, 
1571, 2007, 47, 12, 204, 
1572, 1994, 56, 1, 204, 
1573, 2005, 100, 24, 514, 
1574, 2003, 163, 19, 792, Peking University
1575, 1997, 310, 45, 1313, 
1576, 2006, 30, 26, 64, 
1577, 1999, 160, 54, 379, University of Ontario Institute of Technology Oshawa ON Canada
1578, 2004, 17, 8, 57, 
1579, 1986, 167, 16, 582, University of California Santa Barbara USA
1580, 2002, 46, 13, 206, 
1581, 2007, 20, 5, 101, 
1582, 1993, 30, 5, 128, 
1583, 1995, 37, 7, 163, 
1584, 1998, 42, 12, 187, 
1585, 2007, 10, 5, 32, University of Toronto Canada
